0	600	0	1
0	602	0	1
0	604	0	1
0	606	0	1
0	608	0	1
600	600	4	1
600	601	2	0
600	603	2	0
600	605	2	0
600	607	2	0
600	609	2	0
600	610	2	0
600	611	2	0
601	601	1	1
601	600	5	0
602	602	5	0
506	630	0	1
602	630	1	1
630	630	2	0
630	603	1	1
603	604	5	0
603	631	1	1
506	631	0	1
631	631	2	0
631	605	1	1
603	612	0	1
604	606	5	0
604	632	1	1
506	632	0	1
632	632	2	0
632	607	1	1
604	612	1	1
604	613	0	1
605	608	5	0
605	633	1	1
506	633	0	1
633	633	2	0
633	609	1	1	
605	613	1	1
606	612	2	0
606	610	1	1
607	613	2	0
607	611	1	1
600	614	0	1
600	615	0	1
600	616	0	1
600	617	0	1
608	614	1	0
608	602	4	1
609	615	1	0
609	604	4	1
610	616	1	0
610	606	4	1
611	617	1	0
611	608	4	1
602	640	0	1
603	641	0	1
6031	640	1	0
6030	640	2	0
6029	640	3	0
6028	640	4	0
6027	640	5	0
6026	640	6	0
6025	640	7	0
6024	640	8	0
6023	641	1	0
6022	641	2	0
6031	650	2	1
6030	650	1	1
22	650	0	1
650	650	3	0
651	650	4	0
652	650	5	0
653	650	6	0
650	651	0	1
6024	651	1	1
6025	651	2	1
6026	651	3	1
6027	651	4	1
6028	651	5	1
65100	651	6	0
65101	651	7	0
65102	651	8	0
65103	651	9	0
65104	651	10	0
65105	651	11	0
65106	651	12	0
65107	651	13	0
65108	651	14	0
65109	651	15	0
65110	651	16	0
65111	651	17	0
65112	651	18	0
65113	651	19	0
65114	651	20	0
65115	651	21	0
651	652	0	1
6024	652	1	1
6025	652	2	1
6026	652	3	1
65200	652	4	0
65201	652	5	0
65202	652	6	0
652	653	0	1
6024	653	1	1
6025	653	2	1
6026	653	3	1
6027	653	4	1
6028	653	5	1
65300	653	6	0
65301	653	7	0
65302	653	8	0
65303	653	9	0
65304	653	10	0
65305	653	11	0
65306	653	12	0
65307	653	13	0
65308	653	14	0
65309	653	15	0
65310	653	16	0
65311	653	17	0
65312	653	18	0
65313	653	19	0
65314	653	20	0
65315	653	21	0
653	654	0	1
6024	654	1	1
6025	654	2	1
6026	654	3	1
6027	654	4	1
65400	654	5	0
65401	654	6	0
65402	654	7	0
65403	654	8	0
65404	654	9	0
65405	654	10	0
65406	654	11	0
65407	654	12	0
653	655	0	1
6022	655	1	1
6023	655	2	1
65500	655	3	0
65501	655	4	0
65502	655	5	0
65503	655	6	0
65300	660	0	1
65301	660	1	1
65302	660	2	1
65303	660	3	1
65304	660	4	1
65305	660	5	1
65306	660	6	1
65307	660	7	1
65308	660	8	1
65309	660	9	1
65310	660	10	1
65311	660	11	1
65312	660	12	1
65313	660	13	1
65314	660	14	1
65315	660	15	1
10000	660	16	0
65400	661	0	1
65401	661	1	1
65402	661	2	1
65403	661	3	1
65404	661	4	1
65405	661	5	1
65406	661	6	1
65407	661	7	1
66100	661	8	0
66100	662	0	1
65500	662	1	1
10001	662	2	0
66100	663	0	1
65501	663	1	1
10002	663	2	0
65100	664	0	1
65101	664	1	1
65102	664	2	1
65103	664	3	1
65104	664	4	1
65105	664	5	1
65106	664	6	1
65107	664	7	1
65108	664	8	1
65109	664	9	1
65110	664	10	1
65111	664	11	1
65112	664	12	1
65113	664	13	1
65114	664	14	1
65115	664	15	1
10003	664	16	0
65200	665	0	1
65201	665	1	1
10004	665	2	0
101301	601	0	1
101902	600	2	1
101608	600	1	1
101702	602	1	1
101703	604	1	1
101704	606	1	1
101705	608	1	1
101305	610	0	1
101306	607	0	1
