0	900	0	1
0	905	0	1
0	907	0	1
0	908	0	1
600	901	0	1
900	901	16	0
901	901	15	0
902	901	14	0
903	901	13	0
904	901	12	0
905	901	11	0
905	902	0	1
904	902	1	1
903	902	2	1
902	902	3	1
901	902	4	1
900	902	5	1
906	902	6	0
906	900	4	1
907	900	5	0
907	903	1	1
908	903	3	0
908	904	1	1
600	904	2	0
600	903	2	1
909	905	5	0
909	906	1	1
600	905	4	1
600	906	2	0
600	907	4	1
600	910	1	1
910	907	5	0
910	910	0	1
912	910	2	0
912	908	4	1
911	908	5	0
911	911	1	1
600	911	2	0
101304	904	0	1
101503	900	1	1
101606	905	1	1
101311	906	0	1
101405	907	1	1
101404	908	1	1
101401	911	0	1	
