1009	1012	0	1
101227	1012	28	0
101226	1012	27	0
101225	1012	26	0
101224	1012	25	0
101223	1012	24	0
101222	1012	23	0
101221	1012	22	0
101220	1012	21	0
101219	1012	20	0
101218	1012	19	0
101217	1012	18	0
101216	1012	17	0
101215	1012	16	0
101214	1012	15	0
101213	1012	14	0
101212	1012	13	0
101211	1012	12	0
101210	1012	11	0
101209	1012	10	0
101208	1012	9	0
101207	1012	8	0
101206	1012	7	0
101205	1012	6	0
101204	1012	5	0
101203	1012	4	0
101202	1012	3	0
101201	1012	2	0
101200	1012	1	0
23	1013	0	1
101203	1013	1	1
101202	1013	2	1
101201	1013	3	1
101200	1013	4	1
101301	1013	6	0
101302	1013	7	0
101303	1013	8	0
101304	1013	9	0
101305	1013	10	0
101306	1013	11	0
101307	1013	12	0
101308	1013	13	0
101309	1013	14	0
101310	1013	15	0
101311	1013	16	0
101312	1013	17	0
101313	1013	18	0
101314	1013	19	0
101315	1013	20	0
23	1014	0	1
101207	1014	1	1
101206	1014	2	1
101205	1014	3	1
101401	1014	5	0
101402	1014	6	0
101403	1014	7	0
101404	1014	8	0
101405	1014	9	0
101406	1014	10	0
23	1015	0	1
101211	1015	1	1
101210	1015	2	1
101209	1015	3	1
101501	1015	5	0
101502	1015	6	0
101503	1015	7	0
101504	1015	8	0
101505	1015	9	0
101506	1015	10	0
101507	1015	11	0
