0	1000	0	1
0	1009	0	1
0	1010	0	1
0	1011	0	1
1000	1000	5	0
1001	1000	1	1
1001	1001	4	0
1001	1002	0	1
1002	1002	1	0
1002	1000	2	1
1300	1003	4	0
1400	1004	43	0
1300	1005	3	1
1400	1005	4	1
1500	1005	6	0
1500	1000	4	1
1000	1006	0	1
1000	1007	0	1
1000	1008	0	1
1006	1006	1	0
1007	1007	1	0
1008	1008	1	0
1006	1009	4	1
1007	1010	4	1
1008	1011	4	1
23	1009	1	1
23	1010	1	1
23	1011	1	1
1009	1009	5	0
1010	1010	5	0
1011	1011	5	0
103116	1005	0	1
103117	1005	1	1
1008	1005	2	1
103101	1001	0	1
103116	1001	1	1
103117	1001	2	1
103200	1001	3	1
65310	1004	0	1
65311	1004	1	1
65312	1004	2	1
65313	1004	3	1
65400	1004	4	1
65401	1004	5	1
65314	1004	6	1
65315	1004	7	1
65402	1004	8	1
65403	1004	9	1
65404	1004	10	1
65405	1004	11	1
65406	1004	12	1
65407	1004	13	1
65302	1004	14	1
65303	1004	15	1
65304	1004	16	1
65305	1004	17	1
65306	1004	18	1
65307	1004	19	1
65308	1004	20	1
65309	1004	21	1
65100	1004	22	1
65101	1004	23	1
65102	1004	24	1
65103	1004	25	1
65104	1004	26	1
65105	1004	27	1
65106	1004	28	1
65107	1004	29	1
65108	1004	30	1
65109	1004	31	1
65110	1004	32	1
65111	1004	33	1
65112	1004	34	1
65113	1004	35	1
65114	1004	36	1
65115	1004	37	1
65200	1004	38	1
65202	1004	39	1
65201	1004	40	1
65301	1004	41	1
65300	1004	42	1
65500	1003	0	1
65502	1003	1	1
65501	1003	2	1
65503	1003	3	1
